"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID","SYMBOL","GENENAME","ENTREZID","Direction"
-3.82751,7.98050166666667,-36.0435564397269,8.3598974275933e-08,3.9434443090341e-05,9.07282802779818,"7922846","NIBAN1","niban apoptosis regulator 1","116496","Downregulated"
-5.796795,8.360745,-36.0056917929116,8.4087018632736e-08,3.9434443090341e-05,9.06773335901827,"7933194","CXCL12","C-X-C motif chemokine ligand 12","6387","Downregulated"
-3.89279,7.19726666666667,-35.7297732818696,8.77466450023757e-08,4.05791672033903e-05,9.03036402893837,"8051762","SLC8A1","solute carrier family 8 member A1","6546","Downregulated"
3.42243,7.32727,35.2882303175734,9.40015512252806e-08,4.14657615671538e-05,8.96965544397188,"7920285","S100A2","S100 calcium binding protein A2","6273","Upregulated"
-4.841315,7.41629166666667,-34.9416116893527,9.92823069923706e-08,4.14657615671538e-05,8.92119975685606,"7909730","KCNK2","potassium two pore domain channel subfamily K member 2","3776","Downregulated"
5.235175,5.76717833333333,34.9363750004878,9.93647314912711e-08,4.14657615671538e-05,8.92046222658431,"8170060","CT45A1","cancer/testis antigen family 45 member A1","541466","Upregulated"
-3.59958,8.30357166666667,-34.9314606520725,9.94421558147263e-08,4.14657615671538e-05,8.9197699454741,"7946142","CAVIN3","caveolae associated protein 3","112464","Downregulated"
-5.437315,5.06585333333333,-34.9293063656289,9.94761184822138e-08,4.14657615671538e-05,8.91946642704272,"7915612","PTCH2","patched 2","8643","Downregulated"
4.14993,6.21733333333333,34.9074815429004,9.98209626054491e-08,4.14657615671538e-05,8.91638995357297,"8175710","CSAG3","CSAG family member 3","389903","Upregulated"
3.847335,8.56545666666667,34.8422025279408,1.00860852059268e-07,4.14657615671538e-05,8.90717106423505,"8015387","KRT17","keratin 17","3872","Upregulated"
-4.457735,9.25288333333333,-34.7831696611198,1.018122557413e-07,4.14657615671538e-05,8.89881224654434,"8096050","FGF5","fibroblast growth factor 5","2250","Downregulated"
-3.740405,6.09889,-34.7447123120292,1.02437747685471e-07,4.14657615671538e-05,8.89335555158937,"8095021","SPATA18","spermatogenesis associated 18","132671","Downregulated"
-7.35763,8.59107666666667,-34.7358495305963,1.02582538746671e-07,4.14657615671538e-05,8.89209675051343,"7971077","POSTN","periostin","10631","Downregulated"
-3.55567,9.70137666666667,-34.5824902870435,1.05126594050364e-07,4.14657615671538e-05,8.87023944772139,"7938390","ADM","adrenomedullin","133","Downregulated"
-3.36158,9.76535666666667,-34.5477405818323,1.0571334748224e-07,4.14657615671538e-05,8.8652669274193,"7931097","HTRA1","HtrA serine peptidase 1","5654","Downregulated"
-4.57217,6.91967833333333,-34.5394991104415,1.05853071844553e-07,4.14657615671538e-05,8.86408653043,"8067839","FGF7","fibroblast growth factor 7","2252","Downregulated"
-3.43763,8.42077,-34.0807326918863,1.13986003322145e-07,4.3794340417289e-05,8.79771910398586,"8118890","SCUBE3","signal peptide, CUB domain and EGF like domain containing 3","222663","Downregulated"
4.04496,6.84408833333333,34.0569166134245,1.14427954960031e-07,4.3794340417289e-05,8.79423801807185,"8091078","RBP1","retinol binding protein 1","5947","Upregulated"
3.82129,5.65664666666667,33.812778169304,1.19076916846434e-07,4.50557284117696e-05,8.75834719682765,"8162570","HSD17B3","hydroxysteroid 17-beta dehydrogenase 3","3293","Upregulated"
-3.635385,7.35387,-33.7238456791908,1.2082549766357e-07,4.52036696146504e-05,8.74517919669162,"7948987","PLAAT3","phospholipase A and acyltransferase 3","11145","Downregulated"
-4.70815,7.51105833333333,-33.5060596733473,1.25237021218367e-07,4.58191616254798e-05,8.71271789540682,"8056222","DPP4","dipeptidyl peptidase 4","1803","Downregulated"
-3.11915,8.13125833333333,-33.4153643228654,1.27130010975918e-07,4.58191616254798e-05,8.69910918095976,"8015196","KRTAP1-4","keratin associated protein 1-4","728255","Downregulated"
-3.11915,8.13125833333333,-33.4153643228654,1.27130010975918e-07,4.58191616254798e-05,8.69910918095976,"8019578","KRTAP1-4","keratin associated protein 1-4","728255","Downregulated"
-4.08396,8.99025,-33.3753947182376,1.2797495363455e-07,4.58191616254798e-05,8.69309479754662,"8161906","GNAQ","G protein subunit alpha q","2776","Downregulated"
-3.7322,6.147115,-33.2096295583346,1.31550604043644e-07,4.64933760515563e-05,8.66803982190974,"8120961","MRAP2","melanocortin 2 receptor accessory protein 2","112609","Downregulated"
-3.30535,6.43112166666667,-33.1461559204589,1.32950870169403e-07,4.64933760515563e-05,8.65839806254089,"7930181","AS3MT","arsenite methyltransferase","57412","Downregulated"
-3.284075,10.2016083333333,-33.097014712495,1.34047034295865e-07,4.64933760515563e-05,8.65091511451399,"7923547","CHI3L1","chitinase 3 like 1","1116","Downregulated"
4.345695,5.94429166666667,33.0217382060863,1.35746919818885e-07,4.65975792702002e-05,8.63942132709224,"8067140","CYP24A1","cytochrome P450 family 24 subfamily A member 1","1591","Upregulated"
-3.797365,7.26625833333333,-32.9204724611127,1.38073957951616e-07,4.6912740590969e-05,8.62389967308303,"7908459","CFH","complement factor H","3075","Downregulated"
-3.32126,7.5948,-32.8056582818627,1.40769462992967e-07,4.72360478161525e-05,8.60621813565917,"8135734","CPED1","cadherin like and PC-esterase domain containing 1","79974","Downregulated"
3.218925,6.9985,32.6996735606905,1.43312906029436e-07,4.72360478161525e-05,8.58981734276229,"8015806","ETV4","ETS variant transcription factor 4","2118","Upregulated"
-4.021145,5.75811666666667,-32.6915800758607,1.43509352511613e-07,4.72360478161525e-05,8.58856177100236,"8080847","CEP15","centrosomal protein 15","57415","Downregulated"
-3.613795,9.707085,-32.642802771787,1.44700029349418e-07,4.72360478161525e-05,8.58098533252689,"8041781","EPAS1","endothelial PAS domain protein 1","2034","Downregulated"
3.42319,7.03801,32.5217205928866,1.47706404043395e-07,4.73127410336221e-05,8.56210776563893,"7923596","ETNK2","ethanolamine kinase 2","55224","Upregulated"
3.64454,6.25920833333333,32.518919144557,1.47776828768258e-07,4.73127410336221e-05,8.56166981108734,"8072015","GRK3","G protein-coupled receptor kinase 3","157","Upregulated"
6.39851,6.17581333333333,32.4444037662703,1.49664661028532e-07,4.74608020787337e-05,8.55000089667039,"8166611","MAGEB2","MAGE family member B2","4113","Upregulated"
-4.51791,6.68401,-32.0075802998155,1.61321257251123e-07,5.01177488740723e-05,8.48081932138984,"7983630","FGF7","fibroblast growth factor 7","2252","Downregulated"
-3.19116,7.34496166666667,-31.8661652161389,1.65322068056276e-07,5.01177488740723e-05,8.45813494403337,"7936494","GFRA1","GDNF family receptor alpha 1","2674","Downregulated"
-3.37013,6.57719833333333,-31.8268326484743,1.66455554577105e-07,5.01177488740723e-05,8.45180027209108,"8156060","TLE4","TLE family member 4, transcriptional corepressor","7091","Downregulated"
3.197625,6.45748833333333,31.7897410123853,1.67532865411126e-07,5.01177488740723e-05,8.44581636340275,"7989937","LCTL","lactase like","197021","Upregulated"
-2.97345,12.1995666666667,-31.7676202307296,1.68179267353181e-07,5.01177488740723e-05,8.44224296996755,"8059905","COL6A3","collagen type VI alpha 3 chain","1293","Downregulated"
3.174415,6.21446166666667,31.6330682325571,1.72175027550147e-07,5.01177488740723e-05,8.42043151192611,"8146579","CHD7","chromodomain helicase DNA binding protein 7","55636","Upregulated"
-3.07589,7.61626666666667,-31.6141886011236,1.72744602134353e-07,5.01177488740723e-05,8.41736057382822,"8101086","NAAA","N-acylethanolamine acid amidase","27163","Downregulated"
-3.49113,9.67317333333333,-31.5865827466609,1.73581440028247e-07,5.01177488740723e-05,8.41286558413316,"8154951",NA,NA,NA,"Downregulated"
-3.78879,6.79550333333333,-31.5559926551417,1.74514330312491e-07,5.01177488740723e-05,8.40787821155536,"7918426","SLC16A4","solute carrier family 16 member 4","9122","Downregulated"
-3.225825,7.72764166666667,-31.5311434764825,1.7527649644873e-07,5.01177488740723e-05,8.40382181751182,"8023727","DSEL","dermatan sulfate epimerase like","92126","Downregulated"
-3.31552,6.516715,-31.480982115891,1.76827020511741e-07,5.01177488740723e-05,8.39561972691706,"8109490","SGCD","sarcoglycan delta","6444","Downregulated"
-3.55303,7.77192166666667,-31.4286724723086,1.78461205282397e-07,5.01177488740723e-05,8.387046763363,"8154491","ADAMTSL1","ADAMTS like 1","92949","Downregulated"
3.325915,7.66513666666667,31.428177919805,1.78476740159414e-07,5.01177488740723e-05,8.38696561607626,"7963333","KRT80","keratin 80","144501","Upregulated"
-3.118625,9.239475,-31.4078836925587,1.79115599483876e-07,5.01177488740723e-05,8.38363414555677,"8172022","TMEM47","transmembrane protein 47","83604","Downregulated"
3.296005,7.08196,31.2758597266296,1.83338152203489e-07,5.08717537826631e-05,8.36188726497333,"8106403","F2RL1","F2R like trypsin receptor 1","2150","Upregulated"
5.259785,5.653825,31.1872194128996,1.86239054425366e-07,5.12496016132348e-05,8.34721415291934,"8175336","CT45A1","cancer/testis antigen family 45 member A1","541466","Upregulated"
-3.152845,11.3390516666667,-30.9226643708811,1.95224400185391e-07,5.3281859450598e-05,8.30307183382958,"8113709","LOX","lysyl oxidase","4015","Downregulated"
-3.952905,6.01140666666667,-30.7845190026055,2.00119142269632e-07,5.41737160987961e-05,8.27981164710071,"8057486","PDE1A","phosphodiesterase 1A","5136","Downregulated"
-3.896075,5.58016166666667,-30.464879873905,2.12010134517815e-07,5.65722010784547e-05,8.2254319673296,"7938225","OLFML1","olfactomedin like 1","283298","Downregulated"
3.03583,7.326765,30.4078103476879,2.14219856790329e-07,5.65722010784547e-05,8.21563958214949,"7973002","DUXAP9","double homeobox A pseudogene 9","503638","Upregulated"
-3.308985,9.75410666666667,-30.3824827580407,2.1520922949706e-07,5.65722010784547e-05,8.21128555035004,"7957260","GLIPR1","GLI pathogenesis related 1","11010","Downregulated"
-4.175495,8.72188166666667,-30.3680536949502,2.15775281165383e-07,5.65722010784547e-05,8.20880282522991,"8004510","CD68","CD68 molecule","968","Downregulated"
-4.44673,7.422545,-30.3196837859085,2.17685677858713e-07,5.66271876223559e-05,8.20046818972384,"8161865","PRUNE2","prune homolog 2 with BCH domain","158471","Downregulated"
2.980115,8.215445,30.1597756448828,2.24144819101704e-07,5.71961584348705e-05,8.17278320879218,"8124448","H4C8","H4 clustered histone 8","8365","Upregulated"
3.61006,8.43525833333333,30.1342209351903,2.2519786217242e-07,5.71961584348705e-05,8.16834015284529,"8067233","PMEPA1","prostate transmembrane protein, androgen induced 1","56937","Upregulated"
2.986425,6.64267166666667,30.1206201883117,2.25760691343309e-07,5.71961584348705e-05,8.1659733499702,"8063156","CD40","CD40 molecule","958","Upregulated"
3.017975,6.04330166666667,30.0969557078041,2.26743938294829e-07,5.71961584348705e-05,8.16185174640833,"8108729","PCDHB11","protocadherin beta 11","56125","Upregulated"
-3.80221,6.88017166666667,-29.9842846170494,2.3149517651414e-07,5.79556006946715e-05,8.14216668998589,"8154135","SLC1A1","solute carrier family 1 member 1","6505","Downregulated"
-3.693595,8.52520666666667,-29.9072493222616,2.34811295802645e-07,5.80850096644182e-05,8.12864905519357,"7927964","SRGN","serglycin","5552","Downregulated"
4.90263,5.792025,29.8880248879441,2.35647556931156e-07,5.80850096644182e-05,8.12526822770097,"8175344","CT45A1","cancer/testis antigen family 45 member A1","541466","Upregulated"
2.86486,7.35451833333333,29.7607971627853,2.41271325944238e-07,5.80850096644182e-05,8.10281843590662,"7996081","ADGRG1","adhesion G protein-coupled receptor G1","9289","Upregulated"
3.20909,6.696285,29.7590159091578,2.41351177645245e-07,5.80850096644182e-05,8.10250319440693,"8022118","EPB41L3","erythrocyte membrane protein band 4.1 like 3","23136","Upregulated"
-3.17905,8.95774833333333,-29.7088679411836,2.43612096417372e-07,5.80850096644182e-05,8.09361752941046,"8130739","RPS6KA2","ribosomal protein S6 kinase A2","6196","Downregulated"
-4.0528,6.660695,-29.617959917236,2.47774666719239e-07,5.80850096644182e-05,8.07745722021096,"8172425","SLC38A5","solute carrier family 38 member 5","92745","Downregulated"
4.01124,6.76034833333333,29.5824811102142,2.49421909627496e-07,5.80850096644182e-05,8.07113191547054,"8175871","L1CAM","L1 cell adhesion molecule","3897","Upregulated"
4.63379,6.73059666666667,29.5697494525618,2.50016172227705e-07,5.80850096644182e-05,8.06885953841356,"7977456","POTEG","POTE ankyrin domain family member G","404785","Upregulated"
-5.540285,10.0363383333333,-29.5584614749347,2.50544446071586e-07,5.80850096644182e-05,8.06684371571687,"8130867","THBS2","thrombospondin 2","7058","Downregulated"
4.85382,6.42313833333333,29.5466397528188,2.51099110315899e-07,5.80850096644182e-05,8.06473144968115,"7963396","KRT75","keratin 75","9119","Upregulated"
-3.37336,7.56597,-29.5444704122276,2.51201050895763e-07,5.80850096644182e-05,8.0643437138912,"8075635",NA,NA,NA,"Downregulated"
-3.576035,9.217,-29.3304626418355,2.61501802805934e-07,6.00498312277875e-05,8.02590135899937,"7953603","C1S","complement C1s","716","Downregulated"
2.812985,8.34625666666667,29.2522534026968,2.6538991646073e-07,6.05252606054309e-05,8.01175723037346,"8110755","SLC12A7","solute carrier family 12 member 7","10723","Upregulated"
2.84937,8.50709666666667,29.1216694071707,2.72034787377666e-07,6.16186552062188e-05,7.98802633887518,"7919637","H2BC21","H2B clustered histone 21","8349","Upregulated"
3.57791,5.50972166666667,28.9248619952403,2.82423859944766e-07,6.35396436796004e-05,7.95198705437973,"8096440","GRID2","glutamate ionotropic receptor delta type subunit 2","2895","Upregulated"
