"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
-4.120505,9.00990833333333,-40.6025746468999,4.32136283776429e-08,7.99380102272431e-05,9.46504111344341,"7934906"
-4.875735,8.52520666666667,-39.4791043073962,5.04843638402109e-08,8.41623111240056e-05,9.34796008190601,"7927964"
-4.150395,10.4983183333333,-39.4289977536654,5.08409097822225e-08,8.41623111240056e-05,9.3426056782612,"8052355"
-3.912595,8.84786,-38.5146694249457,5.78994303140886e-08,8.41623111240056e-05,9.24283471286109,"8121749"
-3.68707,6.60146833333333,-38.5026570514654,5.79995869957907e-08,8.41623111240056e-05,9.24149739446668,"7955441"
5.92467,8.103485,38.3403613872866,5.93730074776541e-08,8.41623111240056e-05,9.22336045606572,"8122176"
4.126555,5.70664666666667,38.1919080435186,6.06629866647486e-08,8.41623111240056e-05,9.2066575324332,"8157173"
3.85027,8.12409,37.5409720983273,6.67244074498721e-08,8.88689037943357e-05,9.13212236730945,"8174513"
-6.26376,6.58916166666667,-36.9176501534127,7.32089451868977e-08,9.04755640348222e-05,9.05871682746705,"7903358"
-4.0016,7.62243666666667,-36.9034448158628,7.33651749088566e-08,9.04755640348222e-05,9.05702019708225,"8143127"
-3.800595,8.304245,-36.4377465673968,7.87115759836258e-08,9.0955405481643e-05,9.00080085802059,"8056257"
-4.236345,8.07238166666667,-36.3956153466999,7.92175498984186e-08,9.0955405481643e-05,8.99565692119165,"7997504"
-3.396165,9.78544666666667,-36.0382051144592,8.36677454062264e-08,9.22600609733581e-05,8.95162713327442,"8163637"
-3.55691,8.08086333333333,-35.7239498303031,8.78258850068177e-08,9.22600609733581e-05,8.91232561712579,"8152522"
-3.85136,6.03884166666667,-35.5533356164852,9.01853365812137e-08,9.22600609733581e-05,8.8907539675207,"8174598"
3.42493,5.55060833333333,35.4649408541623,9.14371268318712e-08,9.22600609733581e-05,8.87951220844688,"8025103"
-3.31808,8.35230166666667,-34.871516055803,1.00392317521997e-07,9.55075141865695e-05,8.8028646508034,"8015179"
-3.31808,8.35230166666667,-34.871516055803,1.00392317521997e-07,9.55075141865695e-05,8.8028646508034,"8019588"
4.06385,6.48136833333333,34.5935544189526,1.04940581291846e-07,9.6244691178477e-05,8.76624438521035,"8155359"
-3.689545,5.90457833333333,-34.4753464795045,1.069481807251e-07,9.6244691178477e-05,8.7505293847532,"7995697"
-4.806475,7.51105833333333,-34.2058001908291,1.116979140958e-07,9.64947080591486e-05,8.7143746861857,"8056222"
-4.33133,5.58016166666667,-33.8683028802682,1.18000324676089e-07,9.64947080591486e-05,8.66846881462761,"7938225"
-3.473705,8.30446666666667,-33.8471779160035,1.18408567422169e-07,9.64947080591486e-05,8.66557158634938,"7983228"
3.3811,6.81996666666667,33.6480016768995,1.22340694375377e-07,9.64947080591486e-05,8.63811549621331,"8155460"
-5.902525,7.95223166666667,-33.2614459383808,1.30420383154584e-07,9.64947080591486e-05,8.58410008178684,"7985317"
3.419355,7.86086333333333,33.0891155536217,1.34224228721286e-07,9.64947080591486e-05,8.55970443566282,"7940160"
3.21166,8.68507833333333,32.8830001941237,1.3894695390777e-07,9.64947080591486e-05,8.53026695582064,"7929065"
4.16702,6.48893666666667,32.8090456159744,1.40689054842307e-07,9.64947080591486e-05,8.51963529212196,"8155540"
4.16702,6.48893666666667,32.8090456159744,1.40689054842307e-07,9.64947080591486e-05,8.51963529212196,"8161460"
4.42497,7.89725833333333,32.8050265758353,1.40784464352794e-07,9.64947080591486e-05,8.51905646071178,"8013384"
-3.313725,9.45073166666667,-32.7828911426817,1.41311315010514e-07,9.64947080591486e-05,8.51586650849209,"7969861"
-4.283385,8.94460166666667,-32.7540191007942,1.42002003030251e-07,9.64947080591486e-05,8.51170075734312,"8139488"
-3.975155,7.67979333333333,-32.5988710970105,1.45782403030835e-07,9.7082333474354e-05,8.48921851825889,"8014115"
-3.02008,7.98832166666667,-32.158119147155,1.5718713457386e-07,0.000101751853211952,8.42444615971383,"7942957"
3.17079,8.34271333333333,32.0584109811095,1.59911159624872e-07,0.000101751853211952,8.40960507629213,"7952526"
3.29872,9.46114333333333,31.7702030643608,1.6810364169899e-07,0.000101751853211952,8.36630973038779,"8146921"
-4.48067,7.46531,-31.7285340672299,1.69328625761037e-07,0.000101751853211952,8.36000085988097,"7981982"
-4.48067,7.46531,-31.7285340672299,1.69328625761037e-07,0.000101751853211952,8.36000085988097,"7981986"
4.615785,7.55186333333333,31.6679117988238,1.71129644708811e-07,0.000101751853211952,8.35079998291292,"8015337"
-4.80238,7.280665,-31.5060828676465,1.76049125484934e-07,0.000101964939264456,8.32610783591232,"7947512"
3.396195,7.43222666666667,31.4484332372145,1.77841782864663e-07,0.000101964939264456,8.31726532933049,"7903765"
-3.451685,9.30932833333333,-31.3587073763778,1.80674878115233e-07,0.000101964939264456,8.30345423414323,"8124380"
-3.99499,8.13938,-31.178239522034,1.8653594443864e-07,0.00010272203908236,8.27549510134456,"8112971"
3.37502,10.1092016666667,31.1286226646487,1.88186454756403e-07,0.00010272203908236,8.26776561563561,"8040340"
-2.984225,9.878325,-30.8607781404553,1.97399482902626e-07,0.000106013073906593,8.22571956726552,"8104079"
3.32765,7.06227166666667,30.6342732162859,2.05607781266198e-07,0.000108668607822549,8.189736284638,"8161288"
-3.40928,7.57934166666667,-30.5431572828233,2.09022798728434e-07,0.000108747377019698,8.17514965480442,"7916112"
2.91352,10.395895,30.4250016832842,2.13551365604843e-07,0.0001093941510853,8.15613797888364,"8153002"
-3.372885,9.28617166666667,-30.2548847567999,2.20276294695717e-07,0.000110375721471267,8.12857297484735,"7960865"
-3.16017,9.613715,-30.177196925307,2.2343026073362e-07,0.000110375721471267,8.11590858864767,"8105302"
-3.353865,8.838355,-30.1290374487577,2.2541217106785e-07,0.000110375721471267,8.10803366734012,"7918323"
-3.96769,9.59628666666667,-29.7587418102078,2.41363467974799e-07,0.000115779860652679,8.04685997117165,"7980152"
-3.193975,6.09889,-29.6689108550581,2.45431447882038e-07,0.000115779860652679,8.03185142725122,"8095021"
3.752085,5.58836333333333,29.6373418426572,2.46880202611051e-07,0.000115779860652679,8.0265612520967,"7972239"
-4.00259,6.660695,-29.2510240290983,2.65451575763441e-07,0.000122760293308268,7.96115235656443,"8172425"
3.428795,9.03212,28.9515201352749,2.80989586732182e-07,0.000127849629967512,7.90957393556369,"8102468"
3.952005,6.41175833333333,28.8932495644792,2.84135886644318e-07,0.000127849629967512,7.89944940228485,"8013364"
-2.679525,8.13125833333333,-28.7056743302585,2.94549742500928e-07,0.000128888850506976,7.86665753860696,"8015196"
-2.679525,8.13125833333333,-28.7056743302585,2.94549742500928e-07,0.000128888850506976,7.86665753860696,"8019578"
-3.04258,8.84243166666667,-28.644235034067,2.98058128030669e-07,0.000128888850506976,7.8558497228264,"7932985"
-3.036385,8.52288333333333,-28.5709374526484,3.02308306816045e-07,0.000129050765282742,7.84291234040608,"8121588"
3.435625,8.91021666666667,28.4764746738899,3.07891589075161e-07,0.00012977045875235,7.82616892173887,"8160238"
