"logFC","AveExpr","t","P.Value","adj.P.Val","B"
-2.73251,8.93350833333333,-28.2145364443787,3.24021153453373e-07,0.000129843327543523,7.77932264356913
3.23671,10.1215533333333,28.0778784933401,3.32830887006586e-07,0.000129843327543523,7.75463543134527
4.12172,7.78091166666667,28.0441147278013,3.35050796263801e-07,0.000129843327543523,7.74850970619553
-3.76176,7.60264666666667,-27.9751501761883,3.39639566271991e-07,0.000129843327543523,7.73596496466369
-3.045145,9.75410666666667,-27.9599531149986,3.40660687399925e-07,0.000129843327543523,7.73319470291241
-2.896325,7.35119833333333,-27.928106989532,3.42812254052239e-07,0.000129843327543523,7.72738256957729
2.94624,9.599485,27.8932342041707,3.45186706170085e-07,0.000129843327543523,7.72100727504173
-3.219965,7.10424833333333,-27.7977846714569,3.51785582967211e-07,0.000129843327543523,7.70349977365484
-3.173905,8.95833833333333,-27.795460898827,3.51948081302068e-07,0.000129843327543523,7.70307248430986
-3.298825,8.38321333333333,-27.6596139917291,3.61603333792263e-07,0.000129843327543523,7.67800531434025
2.92576,5.88001833333333,27.6406345316313,3.62977006358021e-07,0.000129843327543523,7.67448930171163
-3.04309,10.64307,-27.6383118858612,3.63145534118492e-07,0.000129843327543523,7.67405878968128
-3.337525,8.335345,-27.5915565196191,3.6655773160018e-07,0.000129843327543523,7.66538163650972
-2.891845,8.52897,-27.4942343355075,3.73782256973812e-07,0.000129883440884537,7.64725343873813
3.528765,6.81097333333333,27.4093823925144,3.80218364942716e-07,0.000129883440884537,7.63137432989814
3.18927,7.85834,27.3919509410435,3.81556683272358e-07,0.000129883440884537,7.62810368019181
-3.07384,6.147115,-27.3514516160954,3.84687558127355e-07,0.000129883440884537,7.62049354156247
5.888035,5.5534,27.3323499782682,3.8617474990447e-07,0.000129883440884537,7.61689871072504
-2.706225,7.94909,-27.2043818782949,3.96314593865752e-07,0.000131960870319479,7.59272470818527
3.018205,8.6404,27.0965390393617,4.05104134643984e-07,0.000133552003675651,7.57222872133399
2.617745,6.52306833333333,26.721344040248,4.37526805566284e-07,0.000141936675896545,7.50002646887761
2.936435,5.90955833333333,26.7043878565674,4.3906290708905e-07,0.000141936675896545,7.49673021227187
-3.46174,6.90956833333333,-26.5197331641108,4.56209582095465e-07,0.000145180485377851,7.46064506579616
-3.02719,9.45443166666667,-26.5028374090069,4.57817550069805e-07,0.000145180485377851,7.4573259669974
-2.97448,8.64461166666667,-26.2799636640064,4.79666430189399e-07,0.000150674086094495,7.41326854140885
-2.673775,7.72764166666667,-26.1350764994481,4.94529922907183e-07,0.000153891241523743,7.38435083563996
-2.49679,9.50647666666667,-25.9967901508405,5.09225064921182e-07,0.00015546372031653,7.35654482200323
-2.99263,7.285415,-25.9808944918517,5.10946999166047e-07,0.00015546372031653,7.35333562200249
-3.379985,8.85286833333333,-25.9032457423281,5.19457771485337e-07,0.00015546372031653,7.33762033426409
-4.05587,7.39538666666667,-25.8466634828554,5.25764864043303e-07,0.00015546372031653,7.32612811239693
-3.503815,6.26537833333333,-25.7401926118353,5.37879353579601e-07,0.00015546372031653,7.30440991562438
-2.56969,8.11182166666667,-25.7172443992744,5.40533374419899e-07,0.00015546372031653,7.29971285159467
2.469315,6.23602833333333,25.7043421383879,5.42032332300036e-07,0.00015546372031653,7.29706949816933
-2.4247,9.18685333333333,-25.6470720950188,5.48745268229383e-07,0.00015546372031653,7.28531447012866
2.616425,8.06553,25.6370770600052,5.49926859685576e-07,0.00015546372031653,7.28325927099661
-2.856645,9.071625,-25.6364648489311,5.49999331365824e-07,0.00015546372031653,7.28313335154868
3.23283,5.03857166666667,25.5688050153252,5.58078516955236e-07,0.00015546372031653,7.26919187582266
-2.89672,7.60752,-25.5533042323423,5.59949092254048e-07,0.00015546372031653,7.26599085023353
-3.679255,5.96543333333333,-25.534605394745,5.62215439095897e-07,0.00015546372031653,7.26212589614681
-3.304515,7.25812666666667,-25.5121687696085,5.64949099267207e-07,0.00015546372031653,7.25748329241033
3.35548,8.95831,25.4088390703846,5.77742698946011e-07,0.000157681136449224,7.23603061642408
-2.85645,8.99290666666667,-25.1979181444072,6.04933119381111e-07,0.000162410673371425,7.19187219259413
3.86389,7.10284666666667,25.1786902314877,6.07486049171217e-07,0.000162410673371425,7.1878218406167
-2.63644,9.34355333333333,-25.162057916201,6.0970460316029e-07,0.000162410673371425,7.18431488791659
2.755325,8.59599166666667,24.9978401184664,6.32129822964486e-07,0.000166026079581902,7.1495210204797
-2.839525,8.66296833333333,-24.9898206908252,6.33249605276798e-07,0.000166026079581902,7.14781403104173
-2.5754,8.20502666666667,-24.9081666557822,6.44785369621108e-07,0.000167729831658391,7.13039147199996
3.32371,8.551275,24.7791151414543,6.63526355751774e-07,0.000171266954011371,7.10269906481291
-3.623495,6.34502666666667,-24.7238377224947,6.71749718178342e-07,0.00017143792269483,7.09077832372905
3.28521,7.722635,24.7056195416985,6.74486226177215e-07,0.00017143792269483,7.08684171453857
2.973155,7.67513,24.652572358872,6.82529450144503e-07,0.000172168053798951,7.07535710323566
3.19083,6.89749166666667,24.6146405073296,6.88350179326067e-07,0.000172330796398647,7.06712469774524
2.975925,5.56732333333333,24.3264205654539,7.34541844889548e-07,0.000182522685143935,7.00401540353112
-3.773045,8.46006833333333,-24.2468236047859,7.4793590695619e-07,0.000184474236251261,6.98641155112725
-2.40355,9.239475,-24.2063149141848,7.54862870289398e-07,0.000184813742588427,6.97742314622557
2.69649,6.56787,24.1110882187929,7.71446516278234e-07,0.000187495289434426,6.95621489742685
-2.771445,7.96122166666667,-24.0041755228421,7.9057949510294e-07,0.000189334438655655,6.93227185027447
2.2671,8.75131833333333,23.9869394677101,7.93716123742354e-07,0.000189334438655655,6.92839868280005
-3.32171,7.41629166666667,-23.9740444413635,7.96072361227489e-07,0.000189334438655655,6.92549860316038
3.112945,8.06464,23.7628178332922,8.35867259442431e-07,0.000197389164096841,6.87769989058067
-2.67632,9.38771666666667,-23.5991000537376,8.68330341046774e-07,0.000202820752096904,6.84026685589827
2.4484,9.39413166666667,23.5700462788153,8.74245391295352e-07,0.000202820752096904,6.83358838059224
2.69971,6.50578666666667,23.5559042660092,8.77141733548193e-07,0.000202820752096904,6.83033371800866
-5.231855,4.68779333333333,-23.5118982937265,8.86226941607012e-07,0.000203508265342681,6.82018977105212
-3.21911,8.72188166666667,-23.4123392148598,9.07193710023267e-07,0.000206896088785238,6.79714839955236
2.31752,10.9761933333333,23.3541432706021,9.19720186088373e-07,0.000207362446834231,6.78362064701521
