"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
-3.37013,6.57719833333333,-31.8268326484743,1.66455554577105e-07,5.01177488740723e-05,8.45180027209108,"8156060"
3.197625,6.45748833333333,31.7897410123853,1.67532865411126e-07,5.01177488740723e-05,8.44581636340275,"7989937"
-2.97345,12.1995666666667,-31.7676202307296,1.68179267353181e-07,5.01177488740723e-05,8.44224296996755,"8059905"
3.174415,6.21446166666667,31.6330682325571,1.72175027550147e-07,5.01177488740723e-05,8.42043151192611,"8146579"
-3.07589,7.61626666666667,-31.6141886011236,1.72744602134353e-07,5.01177488740723e-05,8.41736057382822,"8101086"
-3.49113,9.67317333333333,-31.5865827466609,1.73581440028247e-07,5.01177488740723e-05,8.41286558413316,"8154951"
-3.78879,6.79550333333333,-31.5559926551417,1.74514330312491e-07,5.01177488740723e-05,8.40787821155536,"7918426"
-3.225825,7.72764166666667,-31.5311434764825,1.7527649644873e-07,5.01177488740723e-05,8.40382181751182,"8023727"
-3.31552,6.516715,-31.480982115891,1.76827020511741e-07,5.01177488740723e-05,8.39561972691706,"8109490"
-3.55303,7.77192166666667,-31.4286724723086,1.78461205282397e-07,5.01177488740723e-05,8.387046763363,"8154491"
3.325915,7.66513666666667,31.428177919805,1.78476740159414e-07,5.01177488740723e-05,8.38696561607626,"7963333"
-3.118625,9.239475,-31.4078836925587,1.79115599483876e-07,5.01177488740723e-05,8.38363414555677,"8172022"
3.296005,7.08196,31.2758597266296,1.83338152203489e-07,5.08717537826631e-05,8.36188726497333,"8106403"
5.259785,5.653825,31.1872194128996,1.86239054425366e-07,5.12496016132348e-05,8.34721415291934,"8175336"
-3.152845,11.3390516666667,-30.9226643708811,1.95224400185391e-07,5.3281859450598e-05,8.30307183382958,"8113709"
-3.952905,6.01140666666667,-30.7845190026055,2.00119142269632e-07,5.41737160987961e-05,8.27981164710071,"8057486"
-3.896075,5.58016166666667,-30.464879873905,2.12010134517815e-07,5.65722010784547e-05,8.2254319673296,"7938225"
3.03583,7.326765,30.4078103476879,2.14219856790329e-07,5.65722010784547e-05,8.21563958214949,"7973002"
